ID,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,an_000,ao_000,cn_005,cn_006,class
0,0,0,0,0,0,0,4933296,3655166,3247182,1381362,1
1,0,0,0,0,0,0,2560898,2127150,1286736,336388,1
2,0,0,0,0,0,0,2371990,2173634,1102798,196502,1
3,0,10,0,0,0,318,10184,7554,822,152,1
4,0,0,0,0,0,0,3230626,2618878,993000,64230,1
5,0,0,0,0,0,0,2283060,1892752,1182246,302306,1
6,0,0,0,0,0,0,12460,11044,422,114,1
7,0,0,0,0,0,0,5586558,4916376,3593600,756974,1
8,0,0,0,0,0,0,6289144,5590784,3471774,1999718,1
9,0,0,0,0,0,11804,5566182,4426834,341800,110462,2
10,0,0,0,0,0,0,2036770,1667600,953064,72436,1
11,0,0,0,0,0,0,3122760,2717156,1815168,665332,1
12,0,0,0,0,9744,13148,109858,108074,1024,32,1
13,0,0,0,0,0,0,7555358,6274612,4557570,1080804,1
14,0,0,0,0,0,0,1388178,1296724,476802,67208,1
15,0,0,0,0,0,0,7270,3692,660,212,1
16,0,0,0,0,0,20386,10050600,9473796,2766802,2052512,1
17,16,20,0,0,0,1144,54700,51844,5114,672,1
18,0,0,0,0,0,0,29762,24726,11646,722,1
19,0,0,0,0,0,0,86972,78750,22690,528,1
20,104,172,0,0,0,0,2166316,1929602,1027420,323420,1
21,0,0,0,0,0,0,6480,4710,1600,220,1
22,0,0,0,0,0,0,10527330,8931492,4979110,2718408,1
23,0,0,0,0,222,323436,32633282,28658284,5225236,439104,2
24,0,0,0,0,0,0,3955522,3494750,1541964,554712,1
25,0,0,0,0,0,0,1672756,1344348,1003112,129478,1
26,0,0,0,0,0,0,650322,579090,271308,36286,1
27,0,0,0,0,0,0,2909100,2487234,1119530,179916,1
28,0,0,0,0,0,0,103758,96110,5882,400,1
29,0,0,0,0,0,21886,1067748,934368,268584,137376,1
30,0,0,0,0,0,0,5039070,4424498,2405316,534406,1
31,0,0,0,0,0,0,87630,74598,32282,22014,1
32,0,0,0,0,0,0,1730606,1595018,1110448,189334,1
33,0,0,0,0,0,0,2740422,2286968,1710170,282016,1
34,0,0,0,0,0,0,28244,23684,1002,654,1
35,0,0,0,0,0,0,85522,76810,17056,12180,1
36,0,0,0,0,6,12,4264822,3699482,2128176,901152,1
37,0,0,0,0,0,2370,3298240,3060838,1324164,283492,1
38,0,0,0,0,0,0,88028,83056,676,618,1
39,0,0,0,0,0,0,1762966,1613032,626976,228764,1
40,0,0,0,0,0,0,4968,3966,1288,296,1
41,0,0,0,0,0,0,1752498,1658112,507812,136328,1
42,0,0,0,0,0,0,143346,123848,52290,4196,1
43,0,0,0,0,0,0,12900,11348,1438,146,1
44,0,0,0,0,0,0,4669334,4156402,0,0,1
45,0,0,0,0,0,0,91926,80772,41334,2824,1
46,0,0,0,0,0,390,5192568,4645006,1585976,547070,1
47,0,0,0,0,0,0,6640,1918,1378,8,1
48,0,0,0,0,0,0,2191114,1706716,1490554,428926,1
49,0,0,0,0,0,0,3742190,3384290,2051520,478156,1
50,0,0,0,0,0,4292,63632,36342,31352,5918,1
51,0,0,0,0,0,2546,19966,13632,1346,16,1
52,0,0,0,0,0,0,1906110,1473356,1154524,705304,1
53,0,0,0,0,0,0,4224,2148,146,4,1
54,0,0,0,0,0,15488,3348994,2906444,1076254,412828,1
55,0,0,3382,49536,464206,1142216,2149510,1794422,1315464,241338,1
56,0,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,5880,3372,506,0,1
58,0,0,0,0,0,0,11470,11750,382,340,1
59,16,30,0,0,0,0,365036,340452,170440,3416,1
60,0,0,0,244,178226,1249396,0,0,372132,28154,2
61,0,0,0,0,0,0,1753272,1580370,934052,233554,1
62,0,0,0,0,0,832,2041308,1942054,592082,194082,1
63,0,0,0,0,0,0,2282398,1963916,1049538,240612,1
64,0,0,0,0,0,0,1963218,1648024,1138454,736704,1
65,0,0,0,0,0,0,2379680,2073118,656704,48756,1
66,0,0,0,0,0,0,2219096,1808610,1255176,733986,1
67,0,0,0,0,0,2090,73066,66344,1072,44,1
68,0,0,0,0,0,1720,11720,10936,820,0,1
69,0,0,0,0,0,0,2416240,2077284,1105474,1236492,1
70,0,0,0,0,0,0,2523804,2162850,1698580,263862,1
71,0,0,0,0,0,1036,183964,160284,20228,5056,1
72,0,0,0,0,0,2172,128086,106050,79498,61978,1
73,0,0,0,0,0,0,5201602,3909834,2715028,437616,1
74,0,0,0,0,0,0,2703578,2213518,1706902,245686,1
75,0,0,0,0,0,0,4582980,4136978,2539786,1288556,1
76,0,0,0,0,0,0,1690144,1425144,771770,93460,1
77,0,0,0,0,0,0,129446,114250,50134,9266,1
78,0,0,0,0,0,0,96930,89402,16752,418,1
79,0,0,0,0,0,0,2875434,2547740,1002578,177216,1
80,0,0,0,0,0,0,2662690,2426782,1260684,662144,1
81,0,0,0,0,0,0,67320,59568,50392,598,1
82,0,0,0,0,4062,41036,67934,81822,15856,1110,1
83,0,0,0,0,0,0,13510,12474,1366,52,1
84,0,0,0,0,0,0,12356,9204,238,602,1
85,0,0,0,0,0,0,26640,17330,888,128,1
86,0,0,0,0,0,0,8809758,5915568,7023634,602050,1
87,0,0,0,0,0,0,115396,103866,65698,826,1
88,0,0,0,0,0,0,42988,40054,1280,52,1
89,0,0,0,0,0,402,145340,137096,23396,426,1
90,0,0,0,0,0,0,63848,58116,0,0,1
91,0,0,0,0,0,0,1374436,1267904,563244,283742,1
92,0,0,0,0,0,0,2801516,2567024,1701702,660518,1
93,0,0,0,0,0,0,6331822,5082108,3636148,644704,1
94,0,0,0,0,0,0,2207244,1911702,1250934,103746,1
95,0,0,0,0,0,0,2148100,1912714,1461892,250080,1
96,0,0,0,0,0,82030,637154,625166,2822,656,1
97,0,0,0,0,0,0,2413660,2217496,1177258,294584,1
98,0,0,0,0,0,0,1929820,1757214,752302,54014,1
99,0,0,0,0,0,0,2174564,1952274,1259206,514266,1
100,0,0,0,0,0,678,121442,114648,30634,12420,1
101,0,0,0,0,0,0,4045952,3304876,2372764,1682912,1
102,0,0,0,0,0,0,13976,12634,1348,6,1
103,0,0,0,0,0,0,362852,340622,15316,1572,1
104,0,0,0,0,0,0,9570278,8563848,4428504,578110,1
105,0,0,0,0,0,0,146622,134534,2862,864,1
106,0,0,0,0,0,0,2854150,2463606,870316,97612,1
107,0,0,0,0,0,0,1639164,1531684,861888,72924,1
108,2,2,0,0,0,502,13830,11852,452,744,1
109,2,2,0,0,0,0,12224,9848,0,0,1
110,0,0,0,0,0,0,8556,3690,1086,114,1
111,0,0,0,0,0,248524,9634938,8647940,989158,122094,1
112,0,0,0,0,0,0,3103914,2725398,952676,59458,1
113,0,0,0,0,0,0,2291972,1992772,972376,987250,1
114,0,0,0,0,0,0,2298128,2024610,1541880,305706,1
115,0,0,776,281128,2186308,8123016,30556606,30750228,3217070,305942,2
116,0,0,0,0,0,0,94784,87626,39224,714,1
117,0,0,0,0,0,0,8902,4990,6770,342,1
118,0,0,0,0,0,0,2119944,1878150,1154202,531514,1
119,0,0,0,0,0,0,180070,172230,46734,1576,1
120,0,0,0,0,0,374,54512,45334,1678,296,1
121,0,0,0,0,0,0,6877824,5756332,4924766,838684,1
122,0,0,0,0,0,0,5636,4422,758,276,1
123,0,0,0,0,0,202,3745028,3120400,1126832,133580,1
124,0,0,0,0,0,0,5406764,5037776,0,0,1
125,0,0,0,0,0,0,65368,58968,10234,192,1
126,0,0,0,0,0,0,1332062,1144866,646244,733538,1
127,0,0,0,0,0,9148,396040,345438,3412,538,1
128,0,0,0,0,0,0,5519124,4965576,3508692,1064476,1
129,0,0,0,0,0,0,679546,652236,234780,26828,1
130,0,0,0,0,0,0,3308,2158,552,362,1
131,0,0,0,0,0,0,73524,60756,27672,17982,1
132,0,0,0,0,0,0,1079142,981358,254814,151152,1
133,0,0,0,0,0,360,48292,41196,7756,4826,1
134,0,0,0,0,0,0,100878,93490,27526,1640,1
135,0,0,0,0,0,55620,64433246,53994294,1523946,138200,2
136,0,0,0,0,0,0,59485248,55792938,0,0,1
137,0,0,0,0,0,0,65108,55194,20268,14940,1
138,0,0,0,0,0,0,4264568,3688348,2942640,728418,1
139,0,0,0,0,0,512,172888,160154,898,728,1
140,0,0,0,8632,465034,6709252,52733546,0,5143600,692080,1
141,0,0,0,0,0,0,151296,148302,39780,3850,1
142,0,0,0,0,0,0,15070050,11980204,7646742,955698,1
143,0,0,0,0,0,0,13759398,12029160,8193284,846094,1
144,0,0,0,0,0,0,53132,41336,1296,250,1
145,0,0,0,0,0,0,40514,35484,4352,500,1
146,0,0,0,0,0,0,244040,240468,360,260,1
147,0,0,0,0,0,0,3221326,2983230,1297942,520244,1
148,0,0,0,0,0,0,2391930,2191804,1339222,444888,1
149,0,0,0,0,0,0,1862652,1604468,1173396,359964,1
150,0,0,0,0,0,0,737990,713248,210902,3512,1
151,0,0,0,0,0,0,1458164,1217494,847180,724038,1
152,0,0,0,0,0,0,3128418,2763878,1519916,1062524,1
153,0,0,0,0,0,0,1673972,1477632,1028766,72058,1
154,0,0,0,0,0,0,4189022,3643020,2349118,405810,1
155,0,0,0,0,0,0,106260,97546,0,0,1
156,0,0,0,50394,184552,2116260,78912322,72142386,2409502,3005466,2
157,0,0,0,0,0,0,1814728,1606756,401466,68410,1
158,0,0,0,0,0,0,13770,11618,742,616,1
159,0,0,0,0,0,0,86940,73050,5634,286,1
160,0,0,0,0,0,0,2749632,2507968,1363534,123812,1
161,0,0,0,0,0,0,5953296,5115368,2703364,1001802,1
162,0,0,0,0,0,0,57028,51242,1412,248,1
163,0,0,0,0,0,0,26384542,23679280,10421056,1230082,1
164,0,0,0,0,0,0,6196382,5545298,0,0,1
165,0,0,0,0,0,0,96890,86978,1086,340,1
166,0,0,0,0,0,0,1761922,1507326,866002,261258,1
167,0,0,0,0,0,0,1972170,1774802,538168,37080,1
168,0,0,0,0,0,0,153194,137464,32564,1100,1
169,0,0,0,0,0,0,123436,101254,46662,23582,1
170,0,0,0,0,0,0,2332072,2113930,1256112,172460,1
171,0,0,0,0,0,0,2498666,1969442,1438634,512174,1
172,0,0,0,0,0,12286,86464,83990,778,286,1
173,0,0,0,0,6234,6860,28978,32700,3076,166,1
174,0,0,0,0,0,0,2413124,2153818,1193588,273052,1
175,0,0,0,0,0,0,11111036,10347264,6383888,575226,1
176,0,0,0,0,0,0,1377956,1080328,503682,36190,1
177,0,0,0,0,0,0,24676606,21110074,507828,258188,2
178,0,0,0,0,0,0,120128,106770,22810,2686,1
179,0,0,0,0,0,84938,9612370,8765116,3119898,1174734,1
180,0,0,0,0,0,0,26374,20480,488,574,1
181,0,0,0,0,0,0,111886,105698,25308,37326,1
182,0,0,0,0,0,0,2262856,1972178,981476,110518,1
183,0,0,0,0,0,0,3756272,3104658,1930920,1126248,1
184,0,0,0,0,0,0,1832726,1422510,909682,210030,1
185,0,0,0,0,0,170586,6157540,5562082,553540,75130,1
186,0,0,0,1430,32876,63410,46844,94752,30234,194,1
187,0,0,0,0,0,0,2046462,1843324,1065208,218462,1
188,0,0,0,0,0,2604,5726828,4751272,2322872,496132,1
189,0,0,0,0,0,0,10714,9150,1312,178,1
190,0,0,0,0,0,620,2495882,2118392,382628,37444,1
191,0,0,0,0,674,5492,183802,160666,38560,21982,1
192,0,0,0,0,0,32434,2447146,2259030,866110,279818,1
193,0,0,0,0,0,0,3810578,3162838,1768976,1466842,1
194,0,0,0,0,0,0,1967236,1716166,1191288,125984,1
195,0,0,0,0,0,0,99778,93622,3436,632,1
196,0,0,0,0,0,0,2109698,1870498,1236362,215826,1
197,0,0,0,0,0,8796,2624538,2454414,463082,332370,1
198,0,0,0,0,0,0,2023718,1691278,932718,344084,1
199,0,0,0,0,0,0,124492,112842,48080,35588,1
200,0,0,0,0,0,492918,36710604,33391276,140828,39468,1
201,0,0,0,0,0,0,48758,36100,3654,218,1
202,0,0,0,0,0,0,21547786,20485832,0,0,1
203,0,0,0,0,0,0,2692036,2011742,186782,12296,1
204,0,0,0,0,0,0,2784412,2470178,0,0,1
205,0,0,0,0,0,0,1768044,1438346,676460,984300,1
206,0,0,0,0,0,0,1845772,1640308,807338,58738,1
207,0,0,0,0,0,53010,6749538,5979864,858206,128144,1
208,0,0,0,0,0,0,2264204,1181946,2241822,535778,1
209,0,0,0,0,0,0,85860,79644,2496,392,1
210,0,0,0,14868,921256,9292232,35402544,33278180,14883860,7258736,2
211,0,0,0,0,0,0,3382910,3121122,2011258,439640,1
212,0,0,0,0,0,0,31546,25142,556,604,1
213,0,0,0,0,2028,32198,124266,120080,996,320,1
214,0,0,0,0,0,0,3635450,3157148,2141138,321758,1
215,0,0,0,0,0,0,51370,45898,8286,844,1
216,0,0,0,0,0,0,26294,22968,450,132,1
217,222,296,0,0,0,1910,2044070,1807700,260608,21856,1
218,0,0,0,0,0,0,9508,5668,588,22,1
219,0,0,0,0,0,0,392400,358762,200332,36594,1
220,0,0,0,0,0,0,81936,71582,30016,1240,1
221,0,0,0,0,0,0,1610128,1413100,743526,76932,1
222,0,0,0,0,0,0,1972526,1534504,1273238,742082,1
223,0,0,0,0,0,16042,7154592,5881364,853396,90684,1
224,0,0,0,0,0,0,2780376,2189870,255650,11610,1
225,0,0,0,0,0,194792,6815316,6243968,1769994,403710,1
226,0,0,0,0,0,0,2253670,1826652,1656582,431154,1
227,0,0,0,0,0,0,4253432,3764610,1321234,252890,1
228,0,0,0,0,0,624,10490,10382,298,530,1
229,0,0,0,0,0,0,2325382,1969390,926680,255986,1
230,0,0,0,0,0,0,7176254,6029558,3033798,808060,1
231,0,0,0,0,0,0,2827010,2308914,1452904,1116766,1
232,0,0,0,0,0,0,3429584,2978246,1309468,887526,1
233,0,0,0,0,0,0,24162,18732,2856,238,1
234,0,0,0,0,0,0,3797660,3375050,1550372,311966,1
235,0,0,0,0,0,0,2016786,1562812,607456,85162,1
236,0,0,0,0,0,0,2827860,2521196,2243516,510520,1
237,0,0,0,0,0,41948,2001248,1937796,481662,430450,1
238,0,0,0,0,0,1102,34930,25122,2580,824,1
239,0,0,0,0,0,0,1623830,1513866,692810,42642,1
240,0,0,0,0,0,654,95550,83754,13644,10384,1
241,0,0,0,0,3550,66580,966960,877310,226540,52984,1
242,0,0,0,0,0,0,4440098,3209656,2837394,1305504,1
243,0,0,0,0,0,0,136006,115652,43982,2254,1
244,0,0,0,1280,32380,30174,97040,119296,2878,100,1
245,0,0,0,0,0,0,9250,7354,1160,52,1
246,0,0,0,0,0,0,113254,98560,30482,7422,1
247,0,0,0,0,0,0,3718560,2938042,1738794,930220,1
248,0,0,0,0,0,8360,0,0,5264,1120,1
249,0,0,0,0,0,0,2248646,1951808,1316848,689802,1
250,0,0,0,0,0,0,71064,63334,42918,26116,1
251,0,0,2,2,30,192,37876920,32959188,29824366,7595082,2
252,0,0,0,0,0,0,2333474,2058128,1285600,489654,1
253,0,0,0,0,0,0,69810,62054,48048,722,1
254,4,2,0,0,0,0,13454,11160,840,196,1
255,0,0,0,0,0,0,2909114,2595362,1812730,266806,1
256,0,0,0,0,0,0,3326508,2849812,1820408,601914,1
257,0,0,0,0,0,420,764376,738554,233124,7974,1
258,0,0,0,0,5272,2512,161062,140022,58706,12002,1
259,0,0,0,0,0,0,9984,7132,2750,208,1
260,0,0,0,0,0,0,67118,52290,5926,2726,1
261,0,0,0,0,0,1266,1057364,979644,214324,222460,1
262,2,10,0,0,0,196,44130,38002,532,16,1
263,0,0,0,0,0,0,110380,103268,29372,1524,1
264,0,0,0,0,0,1498,52690,47062,4220,134,1
265,0,0,0,0,76596,728050,14491136,13139542,1326046,180160,1
266,0,0,0,0,0,0,42492,38654,664,118,1
267,0,0,0,0,0,0,86306,78230,21122,4610,1
268,0,0,0,0,0,0,4139050,3476662,2547540,912010,1
269,0,0,0,0,0,0,2225268,1985038,1531610,407882,1
270,0,0,0,0,0,0,1444430,1271674,739770,150182,1
271,0,0,0,0,0,76,6329114,5407780,2809464,298836,1
272,0,0,0,0,0,0,4640,2234,1522,0,1
273,0,0,0,0,0,0,5290898,4395162,2440630,589360,1
274,0,0,0,0,0,0,111974,103508,47688,1940,1
275,0,0,0,0,0,0,1852030,1613326,1060362,477332,1
276,0,0,0,0,0,14636,7569914,6858390,1485394,229006,1
277,0,0,0,0,0,0,2268666,1942334,1545082,540918,1
278,0,0,0,0,0,0,62526,57358,18372,288,1
279,0,0,0,0,0,1920,71576,52324,1414,214,1
280,0,0,0,0,0,0,2113066,1795016,643200,69312,1
281,0,0,0,0,0,42146,3507218,3074698,166780,19850,1
282,0,0,0,0,0,0,6098,4796,672,0,1
283,0,0,0,0,0,164,143238,131884,44256,17260,1
284,0,0,0,0,0,0,2697440,2312622,1679998,710760,1
285,0,0,0,0,0,0,9578,8440,668,270,1
286,0,0,0,0,0,1750,0,0,48,8,1
287,0,0,0,0,0,0,29814,21100,2990,502,1
288,0,0,0,0,0,510,2968692,2647066,1218900,241558,1
289,0,0,0,0,1548,323848,14622468,12897234,7867306,1712904,1
290,0,0,0,0,0,0,8012,5476,1044,400,1
291,0,0,0,0,0,0,15748,12534,732,40,1
292,0,0,0,0,0,0,34714,30386,1274,812,1
293,0,0,0,0,0,0,1792706,1678554,880094,190176,1
294,0,0,0,0,0,0,2073946,1789842,867690,144608,1
295,0,0,0,0,0,0,1634564,1471650,1060028,100596,1
296,0,0,0,0,0,0,2396496,2187662,1204394,132414,1
297,0,0,0,0,2412,157656,225634,265664,40398,342,1
298,0,0,0,0,0,0,3224130,2744140,1638800,307914,1
299,0,0,0,0,0,302,40730,37096,492,364,1
300,0,0,0,0,0,0,2401602,1970124,1572666,558270,1
301,0,0,0,0,0,0,42720,37614,2386,172,1
302,0,0,0,0,4630,57828,69786,91084,1032,206,1
303,0,0,0,0,0,0,3913162,3356478,1426426,2415158,1
304,0,0,0,0,0,0,1836188,1527012,1222548,287652,1
305,0,0,0,0,0,25192,74830,74084,1062,136,1
306,0,0,0,0,0,0,0,0,10468,564,1
307,0,0,0,0,0,0,3577026,3069322,2050922,400416,1
308,0,0,0,0,0,0,4124,2252,424,238,1
309,0,0,0,0,0,660,0,657810,187550,44270,1
310,0,0,0,0,0,0,46717246,47327158,0,0,2
311,0,0,0,0,0,0,19570,15038,1596,0,1
312,0,0,0,0,0,0,3232264,2965766,1300656,256272,1
313,0,0,0,0,0,0,2448056,1802822,1695542,638646,1
314,0,0,0,0,0,0,3570628,3241928,1784604,718424,1
315,0,0,0,0,0,0,297698,272660,86432,5152,1
